arm,kind,sharpe_reported,sharpe_causal,vol_reported,vol_causal,dd_reported,dd_causal,ret_reported,ret_causal
constant DV01 3 Mo,single,-0.49132010125652603,-0.49974985000500227,0.05741729606643498,0.05334935396494633,-0.6487735515155447,-0.6275948404305973,-0.028210271717236765,-0.026661331641845698
constant DV01 6 Mo,single,-0.09208929421106768,-0.11665202351001862,0.05514334286459669,0.04895922676442789,-0.35351141037851497,-0.3315728033021169,-0.005078111524839624,-0.005711192871556374
constant DV01 1 Yr,single,0.1682086111405758,0.13291157316358565,0.05142477604554822,0.04606903069883199,-0.26402827420298314,-0.2695376842484849,0.008650090156836819,0.00612310734430328
constant DV01 2 Yr,single,0.27887708236019,0.2587155943660657,0.050263010993247606,0.047579719483610027,-0.23830072577264583,-0.24606428030064453,0.014017201856435044,0.012309615405972845
constant DV01 3 Yr,single,0.2869358856615506,0.2750893205138881,0.050140423645879076,0.04807675691382668,-0.22574045481647043,-0.23173319024386452,0.014387086866275661,0.013225402391935953
constant DV01 5 Yr,single,0.28164666390220905,0.27782794785394893,0.05007727368803249,0.04879281547230121,-0.21021162522077252,-0.21356911464232453,0.014104097071552224,0.01355600779268585
constant DV01 7 Yr,single,0.28549277143091745,0.28728217474356266,0.050047465527163104,0.049542051612971136,-0.2041006020898396,-0.20635207870618766,0.014288189636443096,0.014232548328632175
constant DV01 10 Yr,single,0.28107841426017055,0.280371461807273,0.05004227327486369,0.04920578376049288,-0.20551038503334396,-0.206708985059591,0.014065802818072798,0.013795897522301964
constant DV01 30 Yr,single,0.2790136636323113,0.2810338791262137,0.05002164640400784,0.04989261726496245,-0.19847783631283156,-0.19934252945392583,0.013956722824102253,0.014021515769731898
vol targeted 3 Mo,voltgt,-1.014603682564464,-0.9839533698502166,0.057792049578873586,0.06273058729682804,-0.8724037234616668,-0.8870140576343866,-0.05863602632567322,-0.061723972763397125
vol targeted 6 Mo,voltgt,-0.3795507698205074,-0.3662464925072805,0.055138147020450216,0.05826559477911572,-0.6023184584486484,-0.6190465371345094,-0.020927726148088195,-0.021339569721701646
vol targeted 1 Yr,voltgt,0.008894581895032769,0.014409309729937664,0.051385495067008916,0.05269962544596859,-0.3370822316698793,-0.34124843824682194,0.00045705249409031315,0.0007593652257026656
vol targeted 2 Yr,voltgt,0.2390807223190597,0.23833750436835108,0.05019720566813604,0.04992655567803323,-0.23311886957060768,-0.2334482660126852,0.012001184189536362,0.011899370682009969
vol targeted 3 Yr,voltgt,0.27875699673447096,0.2748402784492778,0.0500727266469671,0.049278018380871556,-0.23868921698178125,-0.2387188951400382,0.013958122898414665,0.013543584293227367
vol targeted 5 Yr,voltgt,0.31372897182341913,0.30451030091937625,0.05003697526656353,0.04832332113408772,-0.22702669218835125,-0.2266494895116553,0.015698048803532826,0.014714949059964705
vol targeted 7 Yr,voltgt,0.3641170809167724,0.3520901049624811,0.050013789428792886,0.04750412402235579,-0.20961309239639636,-0.20890139005341601,0.018210875012398195,0.016725732013181973
vol targeted 10 Yr,voltgt,0.3924104411471802,0.3763455369086165,0.050015607618413754,0.04639155523270192,-0.19597396933596678,-0.194902383882692,0.019626646649786007,0.01745925476207694
vol targeted 30 Yr,voltgt,0.4534336325965571,0.42509848182777443,0.05000689854545286,0.042099884204533256,-0.16608530390143528,-0.16451287944184323,0.022674809662352174,0.017896596860472184
equal DV01 across curve,div,0.13594623876418452,0.12032832767002642,0.05128587667651571,0.04760227187489641,-0.24735416126433052,-0.24968044220061847,0.006972122035896127,0.005727901768000218
inverse-vol across curve,div,-0.2356886768930623,-0.253897929546125,0.05563796676468266,0.050005783442183475,-0.4789919637317235,-0.45504111686573134,-0.01311323877178823,-0.012696364881302283
