arm,kind,tenor,sharpe,ann_return,ann_vol,max_dd,financing,turnover
constant DV01 3 Mo,single,3 Mo,-0.49850375785412815,-0.025711934234524978,0.05157821546863603,-0.6275948404305978,0.4762851713055746,3.3353840456316206
constant DV01 6 Mo,single,6 Mo,-0.119309505449671,-0.005662696088987285,0.047462237544652404,-0.3315728033021177,0.33400014882095824,1.561041191413103
constant DV01 1 Yr,single,1 Yr,0.11918043685347651,0.0053561589358215485,0.044941595090866704,-0.2695376842484829,0.17730154927712674,0.8025421701129749
constant DV01 2 Yr,single,2 Yr,0.24325434903788654,0.011353204094712485,0.046672152582744736,-0.2460642803006451,0.08147857046602162,0.4785107706353727
constant DV01 3 Yr,single,3 Yr,0.263219619201873,0.012430078242742911,0.04722322097582635,-0.2317331902438654,0.0545594611979163,0.4029875702635276
constant DV01 5 Yr,single,5 Yr,0.27468103176773717,0.013178102239245041,0.04797601841829431,-0.21356911464232353,0.033930038922899156,0.3655867354588453
constant DV01 7 Yr,single,7 Yr,0.28892867136870637,0.01408305708349967,0.04874233151312306,-0.20635207870618655,0.026128013324774737,0.3626854875750385
constant DV01 10 Yr,single,10 Yr,0.2855307075682643,0.013821161970785633,0.0484051683564763,-0.20670898505959145,0.02054487233136783,0.3614121841719517
constant DV01 30 Yr,single,30 Yr,0.28852194718073465,0.01416942907254825,0.049110402903500085,-0.1993425294539265,0.01216478867187642,0.42903484575430384
vol targeted 3 Mo,voltgt,3 Mo,-0.9924319869363475,-0.0610235180892016,0.061488866635165736,-0.8870140576343866,0.5921768144930124,146.66992451463125
vol targeted 6 Mo,voltgt,6 Mo,-0.3782275158425612,-0.021612441073146024,0.05714137699633227,-0.6190465371345094,0.41796850156758925,84.41567547042938
vol targeted 1 Yr,voltgt,1 Yr,-0.009473625563508914,-0.0004904170108206172,0.051766560492915746,-0.3412484382468204,0.21434974177596297,40.3829581470465
vol targeted 2 Yr,voltgt,2 Yr,0.2076564501094572,0.010192341974543113,0.04908271315035318,-0.2334482660126862,0.08792169730642249,12.429518688989226
vol targeted 3 Yr,voltgt,3 Yr,0.24501134241675124,0.011872389953037238,0.04845649118089781,-0.23871889514004108,0.05842209205794455,7.252380921102658
vol targeted 5 Yr,voltgt,5 Yr,0.2829088612195561,0.013438964095688694,0.04750280368651715,-0.22664948951165598,0.03578090246425028,3.7725227738604534
vol targeted 7 Yr,voltgt,7 Yr,0.3401519184072909,0.01587561196492798,0.04667212238361934,-0.2089013900534158,0.027063721085864783,2.6407463927735386
vol targeted 10 Yr,voltgt,10 Yr,0.36621645866066105,0.0166787387108672,0.04554338920720613,-0.19490238388269399,0.021181404517909296,1.9882127642687568
vol targeted 30 Yr,voltgt,30 Yr,0.42433316528136344,0.01746977534904525,0.04116995035601691,-0.1645128794418429,0.011927114404632587,1.0442756393126948
equal DV01 across curve,diversified,,0.11959917405744262,0.005564607770249414,0.04652714213207504,-0.24968044220061736,0.17131730739262296,1.2081468384885974
inverse-vol across curve,diversified,,-0.2554428536693267,-0.01235937622070469,0.04838411426731094,-0.45504111686573434,0.38191384053175614,2.4564827142207926
