rebal,band,hl,dead,sh_1x,sh_2x,turn,cost1x,gross,ret1x,dd
monthly,2.0,10,0.1,2.3532362706850796,2.2692480032462155,20.933984467471234,0.0009177250241470789,2.4341911805933036,0.026907771712341346,-0.07868423591921392
daily,2.0,10,0.1,2.0960893964087464,1.9739708840622223,37.63866466047651,0.0017023656737177458,2.2162919985300586,0.030056720552224934,-0.09330079060946406
weekly,1.0,10,0.1,2.0055447250241554,1.8983184866841882,30.839633782987015,0.0014168374572064964,2.111384775210452,0.027873289163718055,-0.1066265405892387
monthly,1.0,10,0.1,1.8310985252298302,1.7411298805624504,23.025415698377248,0.0010544486771028826,1.91892411757505,0.022842846072403708,-0.0967469723437413
biweekly,2.0,10,0.3,1.8353591817538188,1.7352332304650437,25.108422962097947,0.001200278455911905,1.933214820913515,0.02296639596693225,-0.09843543346489614
daily,1.0,10,0.1,1.8278467763603892,1.6841144272894009,46.34658180768464,0.0021887400125416056,1.969851916110354,0.02847807583759569,-0.12472372655943265
biweekly,2.0,10,0.1,1.759148555541578,1.670098498966249,20.404617265310243,0.0008943816134843539,1.8463811067548304,0.01847749840662206,-0.10531471259636771
biweekly,1.0,10,0.1,1.7549162111158692,1.6699763215600503,25.860393931189353,0.001196301727881543,1.83867635909609,0.026040170618498407,-0.11435514492743037
monthly,2.0,10,0.3,1.6795245078055432,1.611443980971542,21.134689873201026,0.0010521993420126593,1.746054874351445,0.026574682881814075,-0.10146663046302928
weekly,2.0,10,0.1,1.625230968611128,1.5388588531062015,25.942217182397115,0.001168602530537769,1.7105132168988082,0.02262440665179143,-0.10365125444716006
weekly,2.0,10,0.3,1.5107115975751626,1.3880577479074523,31.09770547701029,0.001572314210904205,1.6320976204011328,0.02069310688789823,-0.09877591939058927
monthly,2.0,3,0.1,1.3456074588706515,1.2276728706876927,25.87815236771407,0.0011348171241518127,1.460669874570973,0.013570076186306018,-0.1016158163421308
daily,2.0,3,0.1,1.5412039495230365,1.2265952491612844,93.82090826457701,0.004251645654045217,1.852745948533854,0.021224946419861557,-0.07948384624496718
monthly,2.0,3,0.3,1.2549185915470007,1.1611591943384632,27.761529421892718,0.0012779712754171653,1.3466863282575552,0.01729798305462764,-0.10579978438446647
monthly,1.0,10,0.3,1.0838121886472252,1.0210622394316111,24.38980406266189,0.001302895827800032,1.1458635779956512,0.02288321644478851,-0.12505705334307826
daily,1.0,3,0.1,1.380492459116321,0.9911722414663088,112.63767646871743,0.005299512186158473,1.7682781994536165,0.019140033927768495,-0.09046790607867639
daily,2.0,10,0.3,1.0629399207764012,0.9372457197062422,53.95351122033435,0.0028953272665475363,1.1872295549346912,0.024408490076522855,-0.12925147567445017
daily,2.0,0,0.1,2.057528263848302,0.9250289967604295,345.27439829156003,0.015321683105876914,3.2043821317345573,0.028412322197449397,-0.07393531368848194
biweekly,2.0,3,0.3,1.0637477706647942,0.9187828952942108,38.074203570822505,0.0018329980458467363,1.2072629182854886,0.013830298340035003,-0.08912066911219474
daily,2.0,3,0.3,1.2191824087608962,0.8697949226855033,124.82188015224773,0.006104611863409921,1.5655038873624776,0.021474000814193,-0.08098309031485929
biweekly,1.0,10,0.3,0.9121658252090684,0.84559766462841,29.395429318210105,0.001582799625747414,0.9784099968996075,0.02204066987469954,-0.13692360331798725
monthly,1.0,3,0.1,0.9550261849705448,0.8340887155353979,29.610219297609245,0.0013300496144167467,1.074437605266481,0.01085524326390455,-0.11147039974351236
biweekly,0.5,10,0.3,0.8212476309353969,0.7621579769679752,31.813642867152982,0.0018022811503679993,0.880168946623119,0.025466861232880517,-0.14725003871409448
monthly,0.5,10,0.3,0.7912872881222088,0.7381425058530335,26.30387349595746,0.001477930116561418,0.8441387284452868,0.022291121368024996,-0.1427145498608936
monthly,0.5,3,0.1,0.7982817858653908,0.7054462220351619,32.2775677273339,0.0015133638224808536,0.8906775148887345,0.01344144508652438,-0.11560024085919185
daily,1.0,3,0.3,0.9862179634747394,0.6761063399105184,142.3688859379717,0.007459012679394637,1.29494298400921,0.023844875712102854,-0.12454536036783959
