rebal,band,hl,dead,sh_1x,sh_2x,turn
daily,2.0,10,0.1,0.6863312034838822,0.5389587333192862,35.30876165623003
weekly,2.0,10,0.1,0.5859696229901664,0.47702493166502874,24.94475977401376
monthly,2.0,10,0.1,0.509683706272566,0.4329807228949459,18.81874997484818
monthly,2.0,0,0.3,0.453354266797113,0.346101206788014,24.700753986581887
weekly,2.0,3,0.3,0.4064284405938632,0.2129880986805205,51.20355020208279
monthly,2.0,3,0.1,0.27382640488837856,0.16622309237917973,24.707656272558758
monthly,2.0,3,0.3,0.24399721067948918,0.12512914429035019,28.808696291109968
monthly,1.0,0,0.1,0.21345752359608752,0.1102696143795405,27.403036280646507
weekly,2.0,0,0.1,0.43342787355040374,0.10176567567584738,74.6962650793998
monthly,2.0,10,0.3,0.16264609083415152,0.06919607911132758,22.008160976674574
weekly,2.0,0,0.3,0.43737644180217494,0.06433700281211448,91.411555432918
monthly,2.0,0,0.1,0.15356775730086095,0.04939429054923264,23.557995401012874
monthly,1.0,3,0.1,0.14913260886288418,0.04041411939196563,28.749872439821193
weekly,2.0,3,0.1,0.2171787219259493,0.0371338409704347,42.53429887117375
weekly,1.0,10,0.3,0.14150920517616325,0.031705712375009645,37.37329734094243
monthly,1.0,0,0.3,0.11108993020901936,0.024407617893858872,29.062588161889757
daily,1.0,10,0.1,0.10280426050799879,-0.022046131435336833,43.56407348458689
daily,2.0,3,0.3,0.28158482452920647,-0.03925647370532878,103.0055915343161
monthly,1.0,10,0.3,0.03583495091497995,-0.04336638296447472,24.68180836326775
monthly,0.5,0,0.1,0.0572555805562599,-0.04571812251873352,30.17270365624494
daily,2.0,10,0.3,0.10868549553599167,-0.07097841307799878,51.34733745883064
daily,0.5,10,0.1,0.07951022235514818,-0.07649847456057068,49.319442472485115
weekly,1.0,0,0.1,0.2939704462365911,-0.08793653654033724,91.99862342422594
monthly,1.0,3,0.3,-0.012994467870974993,-0.10368086791725313,32.3459825516681
monthly,0.5,3,0.3,-0.02846430265569569,-0.10845745382923401,34.60807464001325
weekly,1.0,10,0.1,-0.04933540909674624,-0.1325885991403684,29.966337710028352
daily,2.0,3,0.1,0.15818312583222593,-0.17348081110920432,76.28147289167424
weekly,0.5,10,0.1,-0.08734574923714186,-0.18447081502918192,33.440802221247296
weekly,0.5,0,0.1,0.09352831442252488,-0.21213670105320656,104.72630062434362
monthly,0.5,10,0.1,-0.15340857799426458,-0.21821244833068942,23.396696910923477
daily,1.0,3,0.1,0.13257168881318288,-0.23134199296583283,95.0313283589891
monthly,0.5,3,0.1,-0.1554610343159195,-0.2522488167867125,31.91563274314173
weekly,1.0,0,0.3,0.06369876787101605,-0.2786134763868498,108.49483474442151
weekly,1.0,3,0.1,-0.08302522604263321,-0.28614980781392485,51.993717859392234
monthly,0.5,0,0.3,-0.20992882347594802,-0.29160398894965955,31.969914309199687
weekly,0.5,0,0.3,0.029671888872953633,-0.29839716260649335,121.06148388479888
weekly,2.0,10,0.3,-0.20672112348439142,-0.30620500318007426,34.48926410394414
monthly,1.0,10,0.1,-0.26847314420493956,-0.32214888612569387,21.660857269936937
weekly,0.5,3,0.1,-0.1627358566583627,-0.3403350871741971,58.92173989702318
daily,1.0,10,0.3,-0.21803644549138848,-0.35390233801871807,57.901767648204185
weekly,1.0,3,0.3,-0.2531859031813766,-0.39413365597591593,60.42495001693669
monthly,0.5,10,0.3,-0.35183141272029383,-0.4060533539555527,25.999185598826344
weekly,0.5,10,0.3,-0.3261800343097216,-0.4132549150844328,40.63575894799432
weekly,0.5,3,0.3,-0.31004269055743156,-0.4497030373671631,66.6743574521641
daily,1.0,3,0.3,-0.18031373277746365,-0.4912666086501578,120.85128010247335
daily,0.5,10,0.3,-0.4018793109283134,-0.5419984770362596,63.315102985967606
daily,0.5,3,0.3,-0.5395785737837553,-0.7756404987812768,134.35258083422184
daily,0.5,3,0.1,-0.5045355589761946,-0.7832509870609649,108.96420489273241
daily,2.0,0,0.1,-0.6603756403843741,-1.7977672482374571,304.48926786056654
daily,0.5,0,0.1,-0.7786763362728094,-1.8143477714676775,419.42555758100167
daily,1.0,0,0.1,-0.7196484723971572,-1.9229320385645121,370.78949192855896
daily,2.0,0,0.3,-0.6686632051578998,-1.998102688384803,385.9724769566646
daily,1.0,0,0.3,-0.9070449123230009,-2.1391355017479095,449.7901202652363
daily,0.5,0,0.3,-1.1764502801013164,-2.1465450180894123,495.9591015708094
